"Screen Name";"Interface (User/ProducerX)";"Current Status (%)";"Issues / Gaps";"Linked Backend/API";"UI/UX Review Needed?";"Expected Outcome"
"LanguageSelectionScreen";"First Launch (All)";"90%";"Minor: Ensure preference persistence if user registers immediately after.";"`SharedPreferences` (Local), Optional: `PUT /api/users/preferences`";"No";"Seamless language selection and robust persistence for user session/profile."
"LandingPage";"Unauthenticated";"40%";"**Functional (✅):** Producer Search (`/api/unified/search`), Direct Producer Login (`/api/auth/login-with-id`).
**Needs Improvement (⚠️):** UI guidance for producer claim vs. recover flow. Clearer visual distinction between user/producer paths. Frontend route for `/recover` exists but needs UI for claim submission.
**To Implement (❌):** Full backend logic for producer profile claiming (`/api/auth/claim-producer-profile` including justification verification, account linking, admin review process). UI for justification submission on `/recover` (file upload, text). Dynamic content display (trending Choices/Interests).";"`GET /api/unified/search` (functional), `POST /api/auth/login-with-id` (functional), Needs: `POST /api/auth/claim-producer-profile` (new backend logic, file handling, verification state machine for claims), Backend review process for claims.";"Yes";"Clear, distinct onboarding paths for users & producers. Seamless producer profile claiming process with justification. Engaging first impression with dynamic content."
"LoginUserPage";"User";"90%";"Standard login. Add 'remember me' option? Link to producer login/claim?";"`POST /api/auth/login`";"No";"Secure, reliable user login with standard options."
"RegisterUserPage";"User";"85%";"Standard registration. Add social signup options? Profile completion prompts?";"`POST /api/auth/register` or `POST /api/newuser/register`";"No";"Simple, secure user account creation, potentially with social options."
"RegisterRestaurantProducerPage";"Producer (Restaurant)";"60%";"Robust validation needed (incl. duplicate checks). Needs clear link to claiming existing profile first. UI for detailed initial setup (menu structure?).";"`POST /api/auth/register-producer` (type: RestaurantProducer) or `POST /api/producers/register`. Needs check against existing producers.";"Yes";"Comprehensive, validated registration *after* checking for existing claimable profiles. Guidance for initial profile setup."
"RegisterLeisureProducerPage";"Producer (Leisure)";"60%";"Robust validation needed. Link to claiming existing profile first. UI for initial event/activity type setup?";"`POST /api/auth/register-producer` (type: LeisureProducer) or `POST /api/leisure-producers/register`. Needs check against existing producers.";"Yes";"Comprehensive, validated registration *after* checking for existing claimable profiles. Guidance for initial profile setup."
"RegisterWellnessProducerPage";"Producer (Wellness)";"60%";"Robust validation needed. Link to claiming existing profile first. Needs UI to define initial `criteria_ratings` upon registration.";"`POST /api/auth/register-producer` (type: WellnessProducer) or `POST /api/wellness/register`. Needs check against existing producers. Needs handling for initial criteria.";"Yes";"Comprehensive, validated registration *after* checking for existing claimable profiles, including mandatory initial rating criteria setup."
"RecoverProducerPage";"Producer";"30%";"**Core Gap**: Implementation of profile **claiming** logic. Needs UI for proof upload (securely). Backend needs verification workflow (manual admin or automated). Clear UI distinction between password recovery and profile claiming needed.";"Needs: `POST /api/auth/claim-producer-profile` (backend logic, file handling, verification state machine). Existing `/recover-producer` likely only handles password reset.";"Yes";"Secure, verifiable, and distinct processes for 1) claiming existing profiles (with proof) and 2) recovering access to already managed accounts."
"ResetPasswordScreen";"User/Producer";"85%";"Standard password reset. Needs UI clarity if initiated from producer claim failure.";"`POST /api/auth/reset-password/{token}`";"No";"Secure password reset functionality for registered emails."
"FeedScreen";"User, Guest";"15%";"**Functional (✅):** Basic post interaction (e.g., like/comment on standard posts - needs verification for `/api/interactions`).
**Needs Improvement (⚠️):** Performance. Media display (view large, all formats). Profile links from all feed items. Robustness of Like/Comment functionality, ensuring it extends to Choices & Interests, including liking comments.
**To Implement (❌):** Core Feed Algorithm (blending friend Choices as Posts, social context for Interests e.g., 'Marie is interested...', producer posts, AI recommendations). Distinct visual treatment for User vs. Producer posts. Full interaction suite for Choices & Interests (Like, Comment, Share). 'Add to Interests' button on producer posts/profiles linking to specific entities. Content filtering UI and backend logic. Display of aggregated Choice ratings within feed items. Interest Group sharing/filtering. Backend: New Feed API (`/api/feed/{userId}` for complex blending, filters). Extend Interaction API (`POST /api/interactions`) for all actions on all content types. Robust media handling (CDN/API). `POST /api/interests` for contextual interest expression.";"Needs: New Feed API (`/api/feed/{userId}` supporting complex blending, group filters, Choice/Interest integration). Extended Interaction API (`POST /api/interactions`) for all actions on all content types. `POST /api/interests` (for contextual interest). Robust media handling CDN/API. `GET /api/choices/user/{userId}/network`, `GET /api/interests/user/{userId}/network`.";"Yes";"Instagram-level Feed: Performant, personalized algorithm blending network Choices/Interests (with social cues & group filtering), producer posts & AI recs. Full interaction suite (like posts/comments, view profiles). Express Interest contextually. Superb media experience."
