"Screen Name";"Interface (User/ProducerX)";"Current Status (%)";"Issues / Gaps";"Linked Backend/API";"UI/UX Review Needed?";"Expected Outcome"
"LanguageSelectionScreen";"First Launch (All)";"20%";"**Functional (✅):** Basic language selection UI.\n**Needs Improvement (⚠️):** Ensure preference persistence if user registers immediately after selection for the initially selected language.\n**To Implement (❌):** Full implementation and operationalization of English and Spanish language options throughout the entire application. All text, labels, and dynamic content need to be translatable and correctly displayed based on user selection. Ensure `easy_localization` is fully integrated and functional for all screens and components for these languages.";"`SharedPreferences` (Local), Optional: `PUT /api/users/preferences`. Requires full setup of `easy_localization` with EN & ES translation files.";"Yes (for new languages)";"Seamless and robust language selection (including English and Spanish) persistent across user sessions/profiles and operational throughout the entire application."
"LandingPage";"Unauthenticated";"25%";"**Functional (✅):** Basic Producer Search (`/api/unified/search`) if data exists. Basic Direct Producer Login (`/api/auth/login-with-id`) if account is already claimed and credentials known.\n**Needs Improvement (⚠️):** UI guidance for producer claim vs. recover flow. Clearer visual distinction between user/producer paths. Frontend route for `/recover` exists but lacks robust UI for claim submission.\n**To Implement (❌):** Display actual Choice App logo. **Producer Account Recovery/Claiming**: The current 'Recover Account' is NOT a functional claiming process. Needs: Full backend logic for **producer profile claiming** (`POST /api/auth/claim-producer-profile`) including robust justification/proof submission (UI for file upload, text fields on `/recover`), verification workflow (admin review, automated checks), and account linking. Suspension mechanism for failed/fraudulent claims. **Streamlined Producer Account Creation**: A 2-3 click process initiated from Landing Page to efficiently gather all necessary information for various producer types and create their accounts. Dynamic content display (trending Choices/Interests).";"`GET /api/unified/search` (functional for basic search), `POST /api/auth/login-with-id` (functional for already claimed). Needs: `POST /api/auth/claim-producer-profile` (new backend logic, file handling, verification state machine for claims, suspension logic). Needs new or enhanced `POST /api/auth/register-producer` to support streamlined creation with all necessary fields for different producer types, potentially new intermediary APIs. Backend review process for claims.";"Yes";"Engaging Landing Page with official Choice logo. Clear, distinct, and fully functional onboarding paths: 1. Users (login/create). 2. Producers: Streamlined 2-3 click account creation. 3. Producers: Secure and verifiable profile claiming process for existing unmanaged listings, requiring proof. Dynamic content for engagement."
"LoginUserPage";"User";"70%";"**Functional (✅):** Basic email/password login.\n**Needs Improvement (⚠️):** UI/UX polish.\n**To Implement (❌):** Google Sign-In (frontend & backend OAuth). Fetching Google profile info & contacts (with consent) to suggest friends/invites. Feature to add 'Proches' (close friends/family) via phone contacts (UI for permission, contact list access, backend processing for invites/connections). 'Remember me' option.";"Basic: `POST /api/auth/login`. Needs: Backend for Google OAuth (`/api/auth/google`, `/api/auth/google/callback`). APIs for contact processing & friend suggestions (`POST /api/users/suggest-friends-from-contacts`).";"Yes";"Secure, reliable login with Email/Password AND Google Sign-In. Seamless onboarding via Google contacts & phone contacts for finding/adding 'Proches'."
"RegisterUserPage";"User";"85%";"Standard registration. Add social signup options? Profile completion prompts?";"`POST /api/auth/register` or `POST /api/newuser/register`";"No";"Simple, secure user account creation, potentially with social options."
"RegisterRestaurantProducerPage";"Producer (Restaurant)";"60%";"Robust validation needed (incl. duplicate checks). Needs clear link to claiming existing profile first. UI for detailed initial setup (menu structure?).";"`POST /api/auth/register-producer` (type: RestaurantProducer) or `POST /api/producers/register`. Needs check against existing producers.";"Yes";"Comprehensive, validated registration *after* checking for existing claimable profiles. Guidance for initial profile setup."
"RegisterLeisureProducerPage";"Producer (Leisure)";"60%";"Robust validation needed. Link to claiming existing profile first. UI for initial event/activity type setup?";"`POST /api/auth/register-producer` (type: LeisureProducer) or `POST /api/leisure-producers/register`. Needs check against existing producers.";"Yes";"Comprehensive, validated registration *after* checking for existing claimable profiles. Guidance for initial profile setup."
"RegisterWellnessProducerPage";"Producer (Wellness)";"60%";"Robust validation needed. Link to claiming existing profile first. Needs UI to define initial `criteria_ratings` upon registration.";"`POST /api/auth/register-producer` (type: WellnessProducer) or `POST /api/wellness/register`. Needs check against existing producers. Needs handling for initial criteria.";"Yes";"Comprehensive, validated registration *after* checking for existing claimable profiles, including mandatory initial rating criteria setup."
"RecoverProducerPage";"Producer";"30%";"**Core Gap**: Implementation of profile **claiming** logic. Needs UI for proof upload (securely). Backend needs verification workflow (manual admin or automated). Clear UI distinction between password recovery and profile claiming needed.";"Needs: `POST /api/auth/claim-producer-profile` (backend logic, file handling, verification state machine). Existing `/recover-producer` likely only handles password reset.";"Yes";"Secure, verifiable, and distinct processes for 1) claiming existing profiles (with proof) and 2) recovering access to already managed accounts."
"ResetPasswordScreen";"User/Producer";"70%";"**Functional (✅):** Basic password reset mechanism assumed.\n**Needs Improvement (⚠️):** UI/UX polish for clarity, error handling, and security feedback.\n**To Implement (❌):** Full end-to-end testing and hardening of the token generation, email delivery, and password update process to ensure robustness for all user types and edge cases.";"`POST /api/auth/reset-password/{token}` (ensure this API is fully robust and secure).";"Yes";"Fully functional, secure, and user-friendly password reset process for all account types, with clear instructions and error handling."
"FeedScreen";"User, Guest";"15%";"**Functional (✅):** Basic post display structure (if `/api/posts/feed` returns data).\n**Needs Improvement (⚠️):** Major performance optimization for infinite scroll & large datasets. UI for all media types (ensure actual video for reels). Consistent profile linking. Robustness of basic like/comment for standard posts.\n**To Implement (❌):** **Core Feed Algorithm** (backend: complex blending of friend Choices-as-Posts, friend Interests for entities with social context e.g., 'Marie is interested in Event X (target of producer post), check it out!'), producer posts, AI recommendations). **Distinct Visuals**: Different card designs for User Choices, User Posts, Producer Posts, Interests. **Full Interaction Suite**: Like/Comment on all content types (Choices, Posts from producers), including liking individual comments. **Contextual Interest Button**: On Producer posts (for specific events/places/items mentioned), linking Interest to specific entity. Users express Interest in an ENTITY, not the post itself. **Interest Group Sharing**: UI to select groups for sharing an Interest; Feed to filter based on these groups. **Emoji Support**: Full emoji rendering & input. **Detailed Like View**: UI to see who liked posts/Choices. **UI Cleanup**: Removal of non-functional/placeholder buttons. `+` button at bottom right seems redundant if main nav FAB exists for 'New Choice'.";"Needs: New **Feed API** (`/api/feed/{userId}` for complex blending, AI, group filters, entity-linked Interests, detailed like counts). **Extended Interaction API** (`POST /api/interactions`) for all actions (like post, like comment, like choice, share choice, etc.) on all content types. `POST /api/interests` (contextual, specific entity linking, group sharing metadata). Robust media handling (CDN/API). `GET /api/choices/user/{userId}/network`, `GET /api/interests/user/{userId}/network` (with group support). API to view likers.";"Yes (Major Overhaul)";"Instagram-level Feed: Lightning-fast, visually stunning, hyper-personalized. Algorithmically blends network Choices (as rich posts), network Interests for entities (with social cues & group filtering), producer content & AI recs. Full, intuitive interaction suite on all items. Handles all media seamlessly. Zero redundant UI elements."
